symbol,date,time,open,high,low,close,volume
TATASTEEL,2016-08-03,15:30:00,364.65,366.45,354.90,357.30,5746762
TATASTEEL,2016-08-04,15:30:00,360.40,374.90,357.40,373.80,9639368
TATASTEEL,2016-08-05,15:30:00,378.00,383.00,376.50,380.80,9117890
TATASTEEL,2016-08-08,15:30:00,382.40,384.50,376.25,379.70,6662412
TATASTEEL,2016-08-09,15:30:00,379.00,382.45,373.60,376.45,5618546
TATASTEEL,2016-08-10,15:30:00,377.90,379.40,368.15,369.15,4594009
TATASTEEL,2016-08-11,15:30:00,370.30,373.60,361.50,369.90,4419528
TATASTEEL,2016-08-12,15:30:00,370.00,378.35,369.35,373.85,4411019
TATASTEEL,2016-08-16,15:30:00,375.00,381.00,373.05,380.30,6104127
TATASTEEL,2016-08-17,15:30:00,379.95,392.95,379.95,391.25,9353131
TATASTEEL,2016-08-18,15:30:00,392.50,393.90,385.10,386.80,5920398
TATASTEEL,2016-08-19,15:30:00,389.15,394.65,383.50,390.95,8947214
TATASTEEL,2016-08-22,15:30:00,391.50,391.50,384.50,387.30,5563430
TATASTEEL,2016-08-23,15:30:00,387.95,391.00,378.15,384.50,6720835
TATASTEEL,2016-08-24,15:30:00,385.60,387.30,378.75,379.35,4261868
TATASTEEL,2016-08-25,15:30:00,381.70,382.30,370.50,373.00,4773691
TATASTEEL,2016-08-26,15:30:00,375.00,375.95,367.30,369.00,4311789
TATASTEEL,2016-08-29,15:30:00,368.90,375.45,367.75,374.15,3718240
TATASTEEL,2016-08-30,15:30:00,375.35,379.50,375.00,378.00,3804436
TATASTEEL,2016-08-31,15:30:00,378.00,381.35,368.80,370.10,4530361
TATASTEEL,2016-09-01,15:30:00,371.30,377.70,369.50,374.55,4453409
TATASTEEL,2016-09-02,15:30:00,375.95,376.20,370.40,373.05,2824297
TATASTEEL,2016-09-06,15:30:00,375.00,386.75,374.40,385.00,5828507
TATASTEEL,2016-09-07,15:30:00,387.10,394.15,386.60,390.25,6965026
TATASTEEL,2016-09-08,15:30:00,390.25,408.60,390.25,402.30,11234744
TATASTEEL,2016-09-09,15:30:00,404.90,406.90,393.25,395.10,5962851
TATASTEEL,2016-09-12,15:30:00,385.00,385.90,370.60,371.95,6717365
TATASTEEL,2016-09-14,15:30:00,370.00,378.00,363.15,374.20,11105369
TATASTEEL,2016-09-15,15:30:00,374.00,375.10,363.75,366.30,4875040
TATASTEEL,2016-09-16,15:30:00,369.50,371.90,357.60,359.20,6075750
TATASTEEL,2016-09-19,15:30:00,360.00,363.95,355.30,361.50,5121611
TATASTEEL,2016-09-20,15:30:00,364.30,370.00,359.25,365.25,5697810
TATASTEEL,2016-09-21,15:30:00,365.30,372.50,365.30,369.40,6868967
TATASTEEL,2016-09-22,15:30:00,377.70,379.80,372.80,377.30,6669414
TATASTEEL,2016-09-23,15:30:00,377.35,378.40,371.00,371.90,4461871
TATASTEEL,2016-09-26,15:30:00,371.35,376.55,368.40,370.25,4351638
TATASTEEL,2016-09-27,15:30:00,372.60,374.60,366.60,367.65,4403977
TATASTEEL,2016-09-28,15:30:00,368.25,382.20,368.25,381.20,6338968
TATASTEEL,2016-09-29,15:30:00,383.35,383.85,365.00,367.55,13361086
TATASTEEL,2016-09-30,15:30:00,367.85,377.45,363.30,375.55,5506157
TATASTEEL,2016-10-03,15:30:00,376.90,384.80,376.30,383.20,4480810
TATASTEEL,2016-10-04,15:30:00,386.00,393.00,382.40,391.55,8523432
TATASTEEL,2016-10-05,15:30:00,395.20,396.50,389.00,389.05,5154852
TATASTEEL,2016-10-06,15:30:00,392.80,395.85,386.55,391.05,7730432
TATASTEEL,2016-10-07,15:30:00,392.90,407.60,390.20,406.55,11610384
TATASTEEL,2016-10-10,15:30:00,409.90,420.70,409.00,419.30,11642373
TATASTEEL,2016-10-13,15:30:00,414.00,420.40,408.80,414.80,11106052
TATASTEEL,2016-10-14,15:30:00,416.00,417.50,409.50,413.00,5275390
TATASTEEL,2016-10-17,15:30:00,412.20,415.80,407.60,411.70,6712935
TATASTEEL,2016-10-18,15:30:00,414.40,426.50,412.10,426.00,7584884
TATASTEEL,2016-10-19,15:30:00,426.00,427.75,421.20,426.70,4973722
TATASTEEL,2016-10-20,15:30:00,427.75,431.90,425.25,428.05,5062646
TATASTEEL,2016-10-21,15:30:00,427.00,428.45,421.70,427.60,4124680
TATASTEEL,2016-10-24,15:30:00,427.45,431.40,425.00,425.80,2881988
TATASTEEL,2016-10-25,15:30:00,410.00,419.20,408.35,414.75,8696996
TATASTEEL,2016-10-26,15:30:00,414.35,418.80,390.90,392.90,8302477
TATASTEEL,2016-10-27,15:30:00,388.00,400.00,383.35,399.05,13709731
